,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
8640,mush,'Soaked clay or soil; very soft ground.',a soft thick mass or mixture,7,6,"a squishy, fluffy mix",4,0.61420023
8641,slush,'Soaked clay or soil; very soft ground.',partly melted snow that is usually dirty,7,7,Snow that's a little melted and not so clean.,9,0.7866978
8642,carbuncle,'Red precious stone such as ruby or garnet.',a bright red jewel usually cut into a round shape,8,10,"a bright, round, red jewel",5,0.6954243
8643,masturbate,To manually excite of one's own sexual organs most often to the point of orgasm.,to give yourself sexual pleasure by rubbing your sexual organs,15,10,To make your body feel good by touching a special part.,11,0.80304474
8644,yawl,'A small boat made for rowing with four or six oars.',a type of boat with sails,11,6,a boat with sails,4,0.8476109
8645,renminbi,'The official currency of China.',the unit of money in China,5,6,the money they use in China,6,0.7226504
8646,maximize,'To render as much as possible.',to increase something as much as possible,6,7,to make something really big or lots and lots more.,10,0.68037176
8647,turntable,'A device that plays the sound stored on a gramophone record.',a large round surface that is able to move in a circle and onto which a railway engine is driven in order to turn it to go in the opposite direction,11,31,"A big, round thing that spins. Trains go on it to turn around and go the other way.",18,0.8170829
8648,cooperation,'Work with an another person or in a team.',the fact of doing something together or of working together towards a shared aim,9,14,working together or doing something as a team,8,0.85554165
8649,subjective,'Taking place within the mind and modified by individual bias.',existing in somebody’s mind rather than in the outside world,10,10,"being in someone's thoughts, not really out there in the world.",11,0.89340615
8650,knockout,'Very strong or vigorous (e.g. of a punch or blow).',a hard hit that makes an opponent fall to the ground and be unable to get up so that they lose the fight,10,23,"a strong punch that knocks down the other fighter, who can't stand up again and loses the game.",18,0.8604311
8651,invade,'To enter by force in order to conquer.',to enter a country town etc. using military force in order to take control of it,8,16,To go into a small town with soldiers to take charge of it.,13,0.7699131
8652,instigate,'To insist the someone does something as soon as possible.',to make something start or happen usually something official,10,9,"to make something begin, like when something official starts.",9,0.77839386
8653,imbecile,'A person especially a large male who is clumsy or a simpleton; an idiot.',a word used to describe a person with a very low level of intelligence that is now considered offensive,14,19,"a mean word for someone not very smart, but we shouldn't use it.",13,0.78649557
8654,moron,'A person especially a large male who is clumsy or a simpleton; an idiot.',a word for a person with a very low level of intelligence that is now considered offensive,14,17,"a mean word for someone who isn't very smart, but we shouldn't use it.",14,0.8049431
8655,gown,'A piece of clothing worn on the upper body outside a shirt or blouse until the waist or slightly below.',a piece of clothing worn in a hospital either by medical staff during surgery or by a patient especially as protection against infection,20,23,a special outfit worn in a hospital by doctors when they do surgery or by a sick person to help stop germs from spreading.,24,0.93081075
8656,inject,'To give an injection to.',to add a particular quality to something,5,7,to make something have a special part.,7,0.83456177
8657,necessity,'Something that needs to be done.',the fact that something must happen or be done; the need for something,6,13,Something must happen or be done; there is a need for it. But for kids: We really need something to happen or be done.,24,0.84684
8658,nay,'A word used to show disagreement of something.',used to emphasize something you have just said by introducing a stronger word or phrase,8,15,"When you want to make your point stronger, you can use a big word or say it in a more powerful way.",22,0.83674616
8659,decompress,'To decrease compression or pressure.',to have the air pressure in something reduced to a normal level or to reduce it to its normal level,5,20,to make the air inside something go back to how much there usually is,14,0.7671681
8660,plebeian,'Who is not of noble rank; pertaining to the great masses.',connected with ordinary people or people of the lower social classes,11,11,connected with regular folks or people who are not rich,10,0.84854305
8661,fleshy,'Of a large person who has a mass or quantity of fat above normal.',having a lot of flesh,14,5,being really fat,3,0.69101846
8662,revive,'To be brought back to life consciousness or strength.',to become or to make somebody/something become conscious or healthy and strong again,9,13,to help someone or something get better and strong again.,10,0.818931
8663,exposition,'What is being told in a clear and orderly manner.',a full explanation of a theory plan etc.,10,8,A full talk about a big idea or a smart plan.,11,0.72806823
8664,freak,'A person who is so ardently devoted to something that it resembles an addiction.',a person who is considered to be unusual because of the way they behave look or think,14,17,"A person who acts, looks, or thinks in a strange way.",11,0.8502196
8665,instructor,'A person who teaches a specific skill to another person.',a person whose job is to teach somebody a practical skill or sport,10,13,A person who teaches someone how to do a real-life thing or play a game.,15,0.8624029
8666,sedentary,'Requiring sitting or little activity.',spending a lot of time sitting down and not moving,5,10,"sitting much, still, not moving.",5,0.7370775
8667,voluminous,'Large in volume or bulk.',very large; having a lot of cloth,5,7,big; having much cloth,4,0.9062941
8668,neutralize,'To make inactive or ineffective; to oppose and mitigate the effects of by contrary actions.',to stop something from having any effect,15,7,to make something not work at all,7,0.76024723
8669,short-change,'To cheat someone by giving them less money than what are due.',to treat somebody unfairly by not giving them what they have earned or deserve,12,14,"to not give somebody what they should get, like not sharing toys when it's their turn.",16,0.7850051
8670,futuristic,'Of or relating to futurism.',extremely modern and unusual in appearance as if belonging to a future time,5,13,"It looks very new and different, like it's from a time way ahead.",13,0.7770872
8671,warlike,'Suggesting or pertaining to war or military life.',aggressive and wanting to fight,8,5,wanted to fight and was not being nice.,8,0.7779879
8672,helpful,'Providing assistance or serving a useful function.',able to improve a particular situation,7,6,can make a certain thing better,6,0.7583133
8673,helpless,'Lacking in or deprived of strength or power.',unable to take care of yourself or do things without the help of other people,8,15,You can't do things all by yourself and need help from others.,12,0.84760463
8674,uptight,'Being in a tense state.',anxious and/or angry about something,5,5,felt worried or mad about something,6,0.88164043
8675,stifling,'Characterized by oppressive heat and humidity.',making you feel unable to breathe because it is too hot and/or there is no fresh air,6,17,"It's so hot and stuffy, you feel like you can't breathe.",11,0.7850752
8676,distinction,'High station status rank importance or repute.',the quality of being excellent or important,7,7,being really good or super important,6,0.6950733
8677,helping,'A predetermined amount of a food given to a person.',an amount of food given to somebody at a meal,10,10,the food someone gets to eat at meal time,9,0.8485562
8678,casket,'A container into which cremated remains are placed and kept.',a box in which a dead body is buried or cremated,10,11,"a box for a body that's dead, to bury or burn it.",12,0.8436027
8679,classify,'To separate arrange or order by classes or categories.',to arrange something in groups according to features that they have in common,9,13,to put things together in groups because they are alike,10,0.82693434
8680,nod,'To lower and raise the head as to indicate assent or agreement or confirmation.',to move your head down and up once to say hello or goodbye to somebody or to give them a sign to do something,14,24,Nod your head up and down one time to say hi or bye to someone or to tell them to do something.,22,0.9277326
8681,quench,'To totally stop something which is on fire from burning any more.',to stop a fire from burning,12,6,to make a fire stop burning,6,0.92086744
8682,curl,'To twist or roll into coils spirals or ringlets.',to form or make something form into a curl or curls,9,11,to make something bend like a curl or curly shape,10,0.9010603
8683,savour,'To derive or receive pleasure from; get enjoyment from; take pleasure in.',to enjoy a feeling or an experience completely,12,8,to really like something or have a great time.,9,0.7803025
8684,loneliness,'The state of being alone in solitary isolation.',the fact of a period of time being sad and spent alone,8,12,a sad and lonely time.,5,0.7780286
8685,romance,'The expressive and pleasurable feeling from an emotional attraction towards another person associated with romantic love.',love or the feeling of being in love,16,8,The feeling of love or liking someone a lot.,9,0.8347587
8686,grapple,'To grip or seize as in a wrestling match.',to take a strong hold of somebody/something and struggle with them,9,11,to grab something tight and fight with it,8,0.83042717
8687,binary,'Of or pertaining to a number system have 2 as its base.',using only 0 and 1 as a system of numbers,12,10,using just zero and one for numbers,7,0.8748723
8688,envision,To imagine conceive or see in one's mind.,to imagine what a situation will be like in the future especially a situation you intend to work towards,8,19,"To think about what things could be like later, especially if you plan to try really hard to make them happen.",21,0.7913909
8689,bless,'To make something blessed; to confer blessing upon.',to call God holy; to praise God,8,7,to say God is great; to tell how awesome God is.,11,0.8209779
8690,hush,'To cause to be quiet or not talk.',to be quiet; to stop talking or crying,8,8,to be still and not make any noise; to stop talking or crying,13,0.9409974
8691,weld,'To join together by heating.',to join pieces of metal together by heating their edges and pressing them together,5,14,"To make metal parts stick, heat the edges and push them close.",12,0.8663278
8692,glide,'To fly in or as if in a glider plane.',to fly using air currents without the birds moving their wings or the aircraft using the engine,10,17,The birds don't move their wings and the airplane doesn't use its engine to go up in the sky with the help of the wind.,25,0.819621
8693,fling,'To move in an abrupt or headlong manner.',to throw or push somebody/something with force especially because you are angry or in a careless way,8,17,"to toss or shove someone/something hard, maybe when you're mad or not being careful.",14,0.9118443
8694,leap,'To move forward by leaps and bounds.',to increase suddenly and by a large amount,7,8,to go up really fast and a lot,8,0.68479466
8695,juggle,'To throw catch and keep in the air several things simultaneously.',to throw a set of three or more objects such as balls into the air and catch and throw them again quickly one at a time so as to keep at least one in the air at all times,11,39,"To play with balls, you throw them up, catch them, and throw them again, so one is always in the air.",21,0.8023346
8696,pant,'To breathe noisily as when one is exhausted.',to breathe quickly with short breaths usually with your mouth open because you have been doing some physical exercise or because it is very hot,8,25,to pant like a dog because you just ran around a lot or it's super hot outside,17,0.8263676
8697,recycle,'To use again after processing by converting waste into reusable material.',to treat things that have already been used so that they can be used again,11,15,to clean up old things so we can use them again,11,0.80302805
8698,thrash,'To separate the grain from the straw or husks by beating.',to hit a person or an animal many times with a stick etc. as a punishment,11,16,to hit someone or an animal lots with a stick as a punishment.,13,0.9295332
8699,trample,'To injure by stomping or as if by stomping.',to step heavily on somebody/something so that you damage or harm them/it with your feet,9,15,to step hard on someone or something and hurt it with your feet,13,0.82284576
8700,wade,'To walk (through relatively shallow water).',to walk or stand with no shoes or socks in shallow water in the sea a lake etc.,6,18,"to go in little water, like a sea or lake, with no shoes or socks on.",16,0.8704972
8701,doubtful,'Fraught with uncertainty or doubt.',uncertain and likely to get worse,5,6,It's not sure and might get more bad.,8,0.7291725
8702,beating,'A corporal punishment inflicted with repeated blows.',an act of hitting somebody hard and repeatedly as a punishment or in a fight,7,15,"hitting someone lots of times, maybe when they are in trouble or in a fight.",15,0.8759626
8703,unload,'To take the load off (a container or vehicle).',to remove things from a vehicle or ship after it has taken them somewhere,9,14,to take things out of a car or boat when they get to a place.,15,0.88121045
8704,lurk,'To lie in wait lie in ambush behave in a sneaky and secretive manner.',to wait somewhere secretly especially because you are going to do something bad or illegal,14,15,"to hide and wait quietly, planning to do something naughty or against the rules.",14,0.7864597
8705,steer,'To direct the course (e.g. of a vehicle); determine the direction of travelling.',to control the direction in which a boat car etc. moves,13,11,To steer a boat or car where you want it to go.,12,0.7920984
8706,gigabyte,'A unit of information equal to 1000 megabytes or 10^9 (1000000000) bytes.',a unit of computer memory or data equal to 109 or 1 0003 (= 1 000 000 000) bytes,12,19,"A gigabyte is a big piece of computer memory. It holds 1,000,000,000 tiny bits of information called bytes.",18,0.79575
8707,terabyte,'A unit of information equal to 1000 gigabytes or 10^12 (1000000000000) bytes.',a unit of computer memory or data equal to one million million or 1012 (= 1 000 000 000 000) bytes,12,21,"A terabyte is a big amount of computer memory, like a giant box that can hold a lot of information. It's like having 1,000,000,000,000 tiny pieces of data all together.",30,0.75621516
8708,neurotic,'Characteristic of or affected by neurosis.',caused by or having neurosis (= a mental illness in which a person has strong feelings of fear and worry),6,20,feeling lots of fear and worry because of a sickness in the mind.,13,0.7793121
8709,ontological,'Of or relating to ontology.',connected with the branch of philosophy that deals with the nature of existence,5,13,about the big ideas of why things exist,8,0.7504872
8710,brittle,'Having hardness and rigidity but little tensile strength.',a brittle mood or state of mind is one that appears to be happy or strong but is actually nervous and easily damaged,8,23,A mood that seems happy and strong but is really nervous and can be hurt easily is called brittle.,19,0.8975157
8711,dairyman,'Farmer who specializes in the production of milk; the owner of a diary.',a man who works in a dairy,13,7,a man who works with milk and cheese.,8,0.84287715
8712,reap,'To gather the ripened crop.',to cut and collect a crop especially wheat from a field,5,11,to get wheat from a field by cutting it.,9,0.8764997
8713,might,'Muscular capacity to modify the speed of an external physical object to deform it or to oppose another force.',used to say that something seems the best thing to do in the situation that you are in although you may not really want to do it,19,27,"Sometimes, you do what seems best, even if you don't really like it.",13,0.80768573
8714,shot,'The act of firing a projectile.',the act of firing a gun; the sound this makes,6,10,The noise when a gun goes off.,7,0.80204374
8715,basis,'The bottom or lowest part.',the reason why people take a particular action,5,8,"The why people do a certain thing. 

However, to make more sense and use the prioritized word list:",18,0.7829184
8716,gipsy,'Gipsy is a common word used to indicate Romani people Tinkers and Travellers.',a member of an ethnic group (= a people who share a cultural tradition) originally from Asia who traditionally travel around and live in caravans. Many people prefer to use the name Roma or Romani.,13,35,A group of people from Asia who move around a lot and live in big wagons. Some call them Roma or Romani.,22,0.85137177
8717,gypsy,'Gipsy is a common word used to indicate Romani people Tinkers and Travellers.',a member of an ethnic group (= a group of people with a shared cultural background language etc.) originally from Asia who traditionally travel around and live in caravans. Many people prefer to use the name Roma or Romani.,13,39,"A person from a group that moves around a lot and lives in groups, like a big family, from a place far away called Asia. They like to be called Roma or Romani now.",34,0.85360885
8718,glutton,'Person who habitually eats and drinks excessively.',a person who eats too much,7,6,a person who eats much,5,0.89735556
8719,hump,A hump may refer to a camel's hump containing its fat reservoir or alternatively to the curve on an upper spine that causes a hunchback.,a round part that sticks out on the back of a person caused by an unusual curve in the spine (= the row of bones in the middle of the back),25,31,A bump on a person's back because their backbone curves in a strange way.,14,0.81840694
8720,meek,'Tender and amiable; of a considerate or kindly disposition.',quiet gentle and always ready to do what other people want without expressing your own opinion,9,16,"You're quiet, nice, and always ready to do what others want, not saying what you think.",16,0.863884
8721,multitude,'A large number of something.',an extremely large number of things or people,5,8,a whole lot of things or people,7,0.87088144
8722,palate,'The roof of the mouth in humans and other mammals.',the top part of the inside of the mouth,10,9,the top part inside your mouth,6,0.8100777
8723,poetry,The class of literature comprising poems; a poet's literary production; composition in verse or language exhibiting conscious attention to patterns.,poems in general; poems as a genre of literature,20,9,"Poems, like stories, are a type of reading.",8,0.776892
8724,pure,'Free from contaminants or extraneous elements.',clean and not containing any harmful substances,6,7,"clean and safe, no bad stuff inside",7,0.66807747
8725,spicy,'Of pertaining to or containing spice; or spicy flavour: Provoking a burning sensation due to the presence of chillies or similar hot spices.',having a strong taste because spices have been added to it,23,11,It has a strong taste because spices were added to it.,11,0.9118483
8726,spruce,'Any of various large coniferous evergreen trees from the genus Picea found in northern temperate and boreal regions.',an evergreen forest tree with leaves like needles,18,8,A tree in the forest has leaves that look like needles and stays green all the time.,17,0.72637486
8727,surface,'The overside or up-side of a flat object such as a table or of a liquid; the outside hull of a tangible object.',the outer appearance of a person thing or situation; the qualities that you see or notice that are not hidden,23,20,"The way a person, thing, or situation looks on the outside; what you can see and notice that is not hidden.",21,0.8767158
8728,infected,'Referring to something or someone that has received an infection.',affected by harmful bacteria a virus etc.,10,7,Hurt by bad germs or a sickness.,7,0.7789908
8729,dilute,'To weaken or make thinner by adding a foreign substance or a solvent (e.g. water) to a solution.',to make a liquid weaker by adding water or another liquid to it,18,13,to make a drink not so strong by putting water or more drink in it,15,0.879855
8730,dislocate,'To (accidentally) dislodge a skeletal bone from its joint.',to put a bone out of its normal position in a joint,9,12,to move a bone from where it should be in a joint,12,0.940594
8731,hew,'To chop away at; to whittle down; to mow down.',to make or shape something large by cutting,10,8,to make something big by cutting it.,7,0.8398707
8732,infringe,'To commit a crime less serious than a felony.',to break a law or rule,9,6,to not follow a rule or law,7,0.88885355
8733,offend,'To hurt the feelings of; to displease; to make angry; to insult.',to make somebody feel upset because of something you say or do that is rude or embarrassing,12,17,to do or say something mean that makes someone feel sad or upset because it's not nice or it羞羞faces them,20,0.8550309
8734,strew,'To distribute objects or pieces of something over an area especially in a random manner.',to be spread or lying over a surface,15,8,to be all over a surface or covering it.,9,0.86063373
8735,scatter,'To distribute objects or pieces of something over an area especially in a random manner.',to throw or drop things in different directions so that they cover an area of ground,15,16,"to toss or let things fall all around, covering the ground.",11,0.8323822
8736,sway,'To move or swing from side to side; or backward and forward; to rock.',to move slowly from side to side; to move something in this way,14,13,to sway gently back and forth; to make something go like this.,12,0.80098987
8737,tread,'To step or walk (on or over something); to trample.',to put your foot down while you are stepping or walking,10,11,"When you walk, put your foot down.",7,0.84247184
8738,slack,'lacking the expected or needed stiffness unleasantly soft.',not putting enough care attention or energy into something and so not doing it well enough,8,16,not doing something well because you didn't try hard enough or pay enough attention.,14,0.82417905
8739,sloppy,'Lacking seriousness or earnestness; not in a serious mood.',that shows a lack of care thought or effort,9,9,"It shows not caring, not thinking, or not trying.",9,0.72804886
8740,abstractly,'In an abstract state or manner.',in a way that is based on general ideas and not any particular real person thing or situation,6,18,"It's like talking about pretend stuff, not real people or things.",11,0.7469214
8741,jumper,'A short length of cable used to make an electrical connection or to bypass a circuit.',a person an animal or an insect that jumps,16,9,"A person, a little animal, or a bug that jumps.",10,0.86499023
8742,accredited,'Given official approval after meeting certain standards.',officially approved as being of an accepted quality or standard,7,10,It's okay and meets the good standard.,7,0.6656028
8743,certify,'To attest to as the truth or meeting a standard.',to give somebody an official document proving that they are qualified to work in a particular profession,10,17,to give someone a paper that says they can do a certain job because they are good at it.,19,0.8723945
8744,incandescence,'A physical phenomenon manifested by a light emission due to the temperature of a heated body.',the quality of giving out light when heated,16,8,"When something gets hot, it can give off light.",9,0.7651216
8745,fluorescence,'The emission of light by a substance that has absorbed light or other electromagnetic radiation.',bright light produced by some forms of radiation,15,8,Bright light made by some kinds of radiation.,8,0.84159845
8746,offshore,'Located in the sea away from the coast.',blowing from the land towards the sea,8,7,blowing from the ground to the ocean,7,0.87120783
8747,hash,'The result of a computation during which from a large set of data a small figure or few characters are determined that change when the data changes.',the symbol ( # ) especially one on a phone or computer keyboard,27,13,"the special sign ( # ), like on your phone or computer keys",13,0.8920609
8748,parry,'To impede the movement of (an opponent or a ball).',to defend yourself against somebody who is attacking you by pushing their arm weapon etc. to one side,10,18,"When someone attacks you, push their arm or weapon to the side to protect yourself.",15,0.8610512
8749,caucus,'A colleection of persons that were assigend a specific task most often for a predetermined time or to be completed within a given time frame that is to find or determine something make decisions or steer towards a settlement that other are looking for and/or are going to use.',a group of people with similar interests often within a larger organization or political party,49,15,A bunch of people who like the same things sometimes join together in a big group or team.,18,0.7731128
8750,facing,'Something put around something else usually in order to give it another look or to protect it from its environment.',an outer layer that covers the surface of a wall to make it look more attractive,20,16,a covering on a wall to make it look nice.,10,0.80883944
8751,lining,'Something put around something else usually in order to give it another look or to protect it from its environment.',a layer of material used to cover the inside surface of something,20,12,a layer to cover the inside of something.,8,0.89543
8752,additive,A substance mixed in small quantities with another product to modify its chemical or physical state for example to make food look visually more attractive.,'a substance that is added in small amounts to something especially food in order to improve it give it colour make it last longer etc.',25,25,"A little thing added to food to make it better, like giving color or helping it stay good longer.",19,0.8481223
8753,aerosol,An aerosol can for applying paint deodorant etc. as a fine spray.,'a liquid such as paint or hairspray that is kept under pressure in a metal container and released as a spray',12,21,"a special spray, like paint or hairspray, kept in a strong can that squirts out when you press it",19,0.8438575
8754,afforestation,The planting of trees in an area or the management of an area to allow trees to regenerate or colonize naturally in order to produce a forest.,'the process of planting areas of land with trees in order to form a forest',27,15,Planting lots of trees in a big area to make a new forest.,13,0.79616797
8755,alkane,Paraffins. A homologous series of saturated hydrocarbons having the general formula CnH2n+2. Their systematic names end in -ane. They are chemically inert stable and flammable. The first four members of the series (methane ethane propane butane) are gases at ordinary temperatures; the next eleven are liquids and form the main constituents of paraffin oil; the higher members are solids. Paraffin waxs consists mainly of higher alkanes.,'any of a series of compounds that contain carbon and hydrogen',66,11,These are things made of carbon and hydrogen.,8,0.7225414
8756,aqueduct,A channel for supplying water; often underground but treated architecturally on high arches when crossing valleys or low ground.,'a structure for carrying water usually one built like a bridge across a valley or low ground',19,17,"A thing that holds water, like a big bridge over a low place or a valley.",16,0.8447672
8757,archipelago,A group of many islands including the waters that surround them.,'a group of islands and the sea surrounding them',11,9,islands and the sea around them,6,0.7817707
8758,arthropod,The largest phylum in the animal kingdom; adults typically have segmented body a sclerotized integument and many-jointed segmental limbs.,'an invertebrate animal such as an insect spider or crab that has its skeleton on the outside of its body and has joints on its legs',19,26,A bug like a spider or crab with a hard shell on the outside and bendy legs.,17,0.807084
8759,avalanche,A fall or slide of a large mass as of snow or rock down a mountainside.,'a mass of snow ice and rock that falls down the side of a mountain',16,15,"Big snow, ice, and rocks sliding down a mountain side.",10,0.7725915
8760,carcinogen,A substance that causes cancer in humans and animals.,'a substance that can cause cancer',9,6,something that might make you very sick,7,0.7217034
8761,county,An area comprising more than one city and whose boundaries have been designed according to some biological political administrative economic demographic criteria.,'one of a number of areas that some countries are divided into each with its own local government',22,18,Some countries have many parts. Each part has its own leaders who make rules.,14,0.7646703
8762,delinquency,Failure to make payments on time.,'bad or criminal behaviour usually of young people',6,8,"Not nice actions, often by young kids.",7,0.73183066
8763,demography,The statistical study of human vital statistics and population dynamics (natality mortality age profession etc).,'the changing number of births deaths diseases etc. in a community over a period of time; the scientific study of these changes',15,22,"It's about how many babies are born, people get sick, or pass away in a place, and how it changes over time. Scientists study this.",25,0.74484485
8764,desalination,Removal of salt and other minerals from water.,'the process of removing salt from seawater',8,7,taking salt out of ocean water,6,0.7797239
8765,desert,A wide open comparatively barren tract of land with few forms of life and little rainfall.,'a large area of land that has very little water and very few plants growing on it. Many deserts are covered by sand.',16,23,A big piece of land with not much water and few plants. Lots of deserts have lots of sand.,19,0.85799026
8766,detection,The act or process of discovering evidence or proof of governmental legal or ethical violations.,'the process of discovering or noticing something especially something that is not easy to see hear etc.; the fact of being discovered or noticed ',15,25,Finding something that's hard to see or hear.,8,0.7837772
8767,detergent,A surface-active agent used for removing dirt and grease from a variety of surfaces and materials.,'a liquid or powder that helps remove dirt for example from clothes or dishes',16,14,It's a stuff that helps get dirt off things like clothes or dishes.,13,0.82407767
8768,deterrent,Any measure implement or policy designed to discourage or restrain the actions or advance of another agent organization or state.,'something that makes somebody less likely to do something (= that deters them)',20,13,Something that stops a person from wanting to do something.,10,0.76301014
8769,dialysis,A method to clean the blood of patients with renal failure.,'a process for separating substances from a liquid especially for taking waste substances out of the blood of people with damaged kidneys',11,22,"A way to clean liquid by removing bad stuff, like when sick kidneys can't clean blood well.",17,0.810161
8770,dwelling,The abode of a human being their place of residence.,'a house flat etc. where a person lives',10,8,"A place where a person lives, like a house or a flat.",12,0.8567786
8771,estuary,A river mouth or stream mouth is a part of a river where it flows into the sea river lake reservoir or ocean.,'the wide part of a river where it flows into the sea',23,12,"the big, wide spot where the river meets the sea",10,0.8001931
8772,filtration,Separation of suspended particles from a liquid gas etc. by the action of a filter.,'the process of filtering a liquid or gas',15,8,making a liquid or air cleaner by removing dirt,9,0.7368775
8773,fishing,The art or sport of catching fish with a rod and line and a baited hook or other lure such as a fly.,'the sport or business of catching fish',23,7,the job of catching fish,5,0.7430258
8774,household,A group of persons sharing a home or living space who aggregate and share their incomes as evidenced by the fact that they regularly take meals together.,'all the people living together in a house or flat',27,10,all the people living together in a home,8,0.85069835
8775,humus,Earth formed by the decay of vegetable matter.,'a substance formed from dead leaves and plants that helps plants grow',8,12,It's like a helper made from old leaves and plants that makes new plants grow better.,16,0.8314598
8776,hydrology,The science that treats the occurrence circulation distribution and properties of the waters of the earth and their reaction with the environment.,'the scientific study of the earth’s water especially its movement in relation to land',22,14,the study of water on earth and how it moves around land,12,0.8805258
8777,hygiene,A set of practices associated with the preservation of health the prevention and fighting of diseases and healthy living.,'the practice of keeping yourself and your living and working areas clean in order to prevent illness and disease',19,19,"Keeping clean places, like home and work, helps stop sickness.",10,0.7801921
8778,income,Money that a person or an institution obtains.,'the money that a person a region a country etc. earns from work from investing money from business etc.',8,19,"The money a person or place gets from jobs, saving, or selling things.",13,0.83051556
8779,infraction,A breach violation or infringement; as of a law a contract a right or duty.,'an act of breaking a rule or law',15,8,"when someone does something they should not do, like breaking a rule or law",14,0.7996764
8780,inhabitant,A person occupying a region town house country etc.,'a person or an animal that lives in a particular place',9,11,a living thing that stays in one place,8,0.7544445
8781,insectivore,An animal with a diet that consists chiefly of insects and similar small creatures.,'any animal that eats insects',14,5,Any bug-eating animal.,3,0.73876333
8782,invertebrate,Any animal lacking a backbone including all species not classified as vertebrates.,'any animal with no backbone for example a worm',12,9,"An animal like a worm, which does not have a backbone.",11,0.8252317
8783,kerosene,Higly refined sulphurless kerosene used for kerosene lamps lanterns and portable stoves and produces very little soot.,'a type of fuel oil that is made from petroleum and that is used in the engines of planes and for heat and light. In British English it is usually called paraffin when it is used for heat and light.',17,40,"A special oil used in big airplane engines and for keeping warm and making things bright. In England, they call it paraffin for keeping warm and making light.",28,0.8824593
8784,lizard,Any reptile of the suborder Lacertilia especially those of the family Lacertidae typically having an elongated body four limbs and a small tail: includes the gechos iguanas chameleons monitors and slow worms.,'a reptile with a long body and tail four short legs and a rough skin. There are many different types of lizard.',32,22,"A lizard is a reptile with a long body and tail, four short legs, and rough skin. Many kinds of lizards exist.",22,0.87879735
8785,meadow,A piece of land covered or cultivated with grass usually intended to be mown for hay.,'a field covered in grass used especially for hay',16,9,"A big area with lots of grass, special for making hay.",11,0.84567535
8786,nematode,One of the most common phyla of animals with over 80000 different described species (of which over 15000 are parasitic). They are ubiquitous in freshwater marine and terrestrial environments where they often outnumber other animals in both individual and species counts and are found in locations as diverse as Antarctica and oceanic trenches.,'a worm with a thin body that is shaped like a tube and not divided into sections',53,17,"a long, thin worm that looks like a tube",9,0.8259199
8787,objection,An argument that contradicts what is said by other persons.,'a reason why you do not like or are opposed to something; a statement about this',10,16,"A why you no like something; a tell about it.' 

But to make more sense for kids: 'Why you don't like something; what you say about it.",27,0.84639776
8788,recreation,Any activity such as play that diverts amuses or stimulates.,'the act or process of making something that existed in the past exist or seem to exist again',10,18,Making old things look new again.,6,0.67662454
8789,refrigerant,A substance that by undergoing a change in phase (liquid to gas gas to liquid) releases or absorbs a large latent heat in relation to its volume and thus effects a considerable cooling effect.,'a chemical substance used in the refrigeration process',34,8,a special thing used to make stuff cold,8,0.6437122
8790,reptile,Any cold-blooded vertebrate of the class Reptilia.,'any animal that has cold blood and skin covered in scales and that lays eggs. Snakes crocodiles and tortoises are all reptiles.',7,22,"Reptiles are animals with cold blood and scaly skin. They lay eggs. Snakes, crocodiles, and tortoises are reptiles.",18,0.85798115
8791,research,Scientific investigation aimed at discovering and applying new facts techniques and natural laws.,'a careful study of a subject especially in order to discover new facts or information about it',13,17,a good look at something to find new things about it,11,0.77399164
8792,rice,An erect grass Oryza sativa that grows in East Asia on wet ground and has drooping flower spikes and yellow oblong edible grains that become white when polished.,'short narrow white or brown grain grown on wet land in hot countries as food; the plant that produces this grain',28,21,"A little grain, white or brown, that grows on wet ground in hot places. It's food for people. The plant that makes this grain.",24,0.84761083
8793,salamander,Any amphibian of the order Urodela (or Caudata). The adults keep their tails by opposition to the frogs and the caecilians.,'an animal like a lizard with short legs and a long tail that is an amphibian (= lives on both land and in water)',21,24,"A creature that looks like a lizard, has small legs, and a long tail. It can live in water and on land too.",23,0.8520499
8794,sequestration,1) A legal term referring generally to the act of valuable property being taken into custody by an agent of the court and locked away for safekeeping usually to prevent the property from being disposed of or abused before a dispute over its ownership can be resolved.2) The taking of someone's property voluntarily (by deposit) or involuntarily (by seizure) by court officers or into the possession of a third party awaiting the outcome of a trial in which ownership of that property is at issue.,the act of taking control of somebody's property or assets until a debt has been paid,85,16,"When someone doesn't pay their debt, their things might be taken until they pay it back.",16,0.7967022
8795,shrub,A plant resembling a small tree but has no and will never develop a stem.,'a large plant that is smaller than a tree and that has several stems of wood coming from the ground',15,20,"a big plant, smaller than a tree, with many wood stems from the ground",14,0.85817575
8796,smoking,The inhalation and exhalation of carcinogenic fumes from burning plant material usually tobacco.,'the activity or habit of smoking cigarettes etc.',13,8,Smoking is when people light up and puff on cigarettes.,10,0.7378493
8797,solvent,Substance generally a liquid capable of dissolving another substance.,'a substance especially a liquid that can dissolve (= remove or destroy by a chemical process) another substance ',9,19,"a stuff, like a liquid, that can make another thing go away by mixing with it",16,0.8211552
8798,spider,A type of skimmer in the form of a wire mesh basket attached to a handle used to remove food from a hot liquid or skim off foam from a broth.,'a small creature with eight thin legs. Many spiders spin webs to catch insects for food.',31,16,A tiny thing with eight skinny legs. Lots of spiders make nets to grab bugs for eating.,17,0.8321645
